	  size	 age	  dc	  dt	 price
	 102.2 	 4.1 	 0.8 	 50.2 	 472.0 
	 102.7 	 16 	 5.5 	 51.4 	 660.1 
	 101.1 	 6.8 	 14.7 	 29.1 	 683.0 
	 121.2 	 18 	 6.5 	 66.2 	 473.2 
	 102.9 	 17 	 10.4 	 43.8 	 593.0 
	 94.4 	 12.4 	 15.1 	 54.2 	 570.6 
	 102.3 	 4.7 	 17.7 	 26.7 	 790.3 
	 72.9 	 18.6 	 13.7 	 56.8 	 364.8 
	 81.7 	 18.2 	 10.4 	 24.3 	 513.4 
	 107.0 	 3.6 	 18.1 	 13.2 	 644.6 
	 101.6 	 5.0 	 10.8 	 11.0 	 753.2 
	 127.8 	 6.8 	 2.7 	 43.4 	 815.7 
	 115.8 	 3.1 	 11.8 	 45.9 	 564.4 
	 88.5 	 20.2 	 13.2 	 21.8 	 625.5 
	 72.8 	 6.1 	 23 	 31.2 	 474.8 
	 105.6 	 3.2 	 13.3 	 19.2 	 643.5 
	 89.7 	 7.7 	 14.3 	 21.4 	 621.5 
	 79.5 	 12.8 	 16.3 	 30.7 	 635.7 
	 107.5 	 11.5 	 5.2 	 14.6 	 722.6 
	 91.6 	 4.9 	 15.3 	 29.4 	 599.7 
	 72.4 	 2.4 	 22.4 	 36.5 	 438.5 
	 81.1 	 39.7 	 13.4 	 39.5 	 317.8 
	 112.9 	 14.9 	 10.1 	 30.7 	 866.1 
	 113.3 	 21.5 	 16.4 	 27.2 	 741.7 
	 115.7 	 35.3 	 7.6 	 55.2 	 420.0 
	 87.9 	 3.6 	 29 	 61.6 	 467.0
	 109.3 	 11.5 	 18 	 61.8 	 502.5 
	 115.7 	 11.9 	 11 	 25.2 	 742.4 
	 82.3 	 22.2 	 21.9 	 10.9 	 496.0 
	 85.6 	 32.2 	 9.4 	 15.7 	 574.8 
	 113 	 2.2 	 7.3 	 38 	 699.7 
	 69.3 	 4.7 	 23.6 	 23.1 	 504.7 
	 79.6 	 26.5 	 10.9 	 48.4 	 387.5 
	 84.1 	 13.8 	 18.5 	 17.8 	 578.8 
	 100.2 	 4.3 	 11 	 44.5 	 469.3 
	 71 	 8.8 	 25 	 14.3 	 668.0
	 110.6 	 19 	 17 	 14.4 	 809.3 
	 107 	 10.9 	 20.4 	 36.3 	 804.3 
	 110.1 	 17.3 	 14.3 	 24.3 	 642.7 
	 109.7 	 14.7 	 7.6 	 54.3 	 563.0 
	 116.6 	 5.3 	 12.5 	 37.9 	 722.1 
	 105.1 	 16.5 	 24.1 	 37 	 450.2 
	 130.7 	 15.4 	 1.4 	 36.4 	 674.0 
	 118.3 	 8.8 	 13.9 	 28 	 906.0 
	 84.8 	 2.5 	 17.5 	 29.1 	 802.8 
	 70.6 	 3.6 	 27.6 	 28.7 	 402.4 
	 122.4 	 19 	 7.2 	 74.2 	 728.0 
	 101.6 	 3.1 	 6.0 	 32.4 	 505.6 
	 85.4 	 7.0 	 18.0 	 36.4 	 343.8 
	 86.6 	 3.6 	 24.2 	 6.9 	 537.0 
	 109.6 	 49.7 	 9.1 	 6.6 	 589.9 
	 79.1 	 25.5 	 16.1 	 65.5 	 453.9 
	 100.8 	 15.2 	 25.9 	 5.9 	 629.1 
	 95.6 	 20.5 	 8.1 	 53.6 	 547.4 
	 93.4 	 9.5 	 18.5 	 22.6 	 574.8 
	 87.7 	 7.1 	 14.6 	 31.3 	 555.0 
	 74.7 	 2.6 	 28 	 18.5 	 706.3 
	 118.1 	 14.9 	 0.3 	 69.9 	 590.0 
	 96 	 7.9 	 11.3 	 54.8 	 311.6 
	 90.5 	 2.4 	 16.7 	 10.9 	 483.8 
	 101.7 	 3.3 	 14.9 	 13.7 	 664.6 
	 102.7 	 5.3 	 16.6 	 56.5 	 537.0 
	 113.8 	 6.2 	 13.8 	 5.0 	 885.0 
	 115.9 	 19.4 	 13.2 	 37.6 	 593.0 
	 134.8 	 15.6 	 5.7 	 29.2 	 933.5 
	 124.5 	 8.1 	 8.0 	 34.4 	 807.3 
	 103.6 	 3.8 	 20.6 	 65.6 	 485.9 
	 85 	 7.9 	 12 	 64.5 	 528.5 
	 96.9 	 18.8 	 18.1 	 41.6 	 608.0 
	 93.5 	 3.6 	 11.1 	 56.7 	 452.2 
	 93.9 	 4.3 	 6.0 	 59.8 	 591.6 
	 97 	 16.6 	 9.3 	 73.1 	 487.5 
	 117.2 	 2.8 	 16.6 	 5.9 	 745.4 
	 69.7 	 12.2 	 24.8 	 31.2 	 375.6 
	 77.4 	 3.9 	 3.7 	 18.4 	 408.6 
	 94.2 	 3.3 	 18 	 19.5 	 615.5 
	 111.4 	 3.7 	 13.4 	 5.2 	 1005.5 
	 82.8 	 19 	 16.2 	 20.9 	 570.9 
	 116.8 	 8.5 	 14.1 	 74.2 	 416.4 
	 107.7 	 16.7 	 19.7 	 3.1 	 917.6 
	 94.1 	 5.1 	 21.9 	 9.0 	 583.8 
	 106.5 	 10.2 	 9.5 	 12.3 	 595.1 
	 113.9 	 34.6 	 12 	 35.7 	 565.2
	 	
